NIP	ozn	nr	rodzaj_uslugi	rata
6727559092	KTA	323W	L	1240
3866883575	LU	16794	L	3022
1165493421	SBE	LL545	L	1770
2138598159	NEL	L584	L	2272
1617995032	PTU	6R13	L	2253
2625657803	SBE	U48HH	W	2349
6758177505	KTA	468L	W	2154
4531538788	SBE	TE554	L	2385
2138598159	NEL	O586	W	2370
1818291355	SBE	Z67OX	L	1862
2599394621	SBE	CD551	W	2508
4653095092	ONY	1234	L	2502
5229945534	SBE	G38FY	W	2674
3743661247	SBE	Z99ZO	W	2176
4779174699	DW	16852	W	1875
4715154852	DW	23815	L	2520
6758177505	KTA	545S	L	2984
2581219876	NEB	92NR	W	2685
3568004264	LUB	Q624	L	2438
6727559092	KTA	257G	W	2435
5418968184	SBE	O60RV	L	1806
4956781088	DGR	F718	W	2156
5341884086	SBE	SA138	W	1908
1939065269	PO	16886	W	3156
4715154852	DW	557F	L	2276
5115061689	SRS	D662	W	1627
4326751508	SB	55355	W	2060
1581329071	SBE	E93DN	W	2236
4326751508	SB	56466	L	2000
3470453173	LC	7895G	L	2040
1433397952	PN	16832	W	2734
3783578981	EL	28920	L	1935
2581219876	NEB	90HD	W	2818
4796841112	DOA	R672	L	2668
4715154852	DW	23411	W	2700
4241680809	SBE	RF346	W	2496
1617995032	PTU	54PX	W	2148
1433397952	PN	16838	L	2160
4326751508	EL	69798	W	2056
1246489959	SBE	M52XG	W	1812
4241680809	SBE	RJ349	W	2664
3470453173	LC	34568	W	2872
3568004264	LUB	E630	W	1928
1617995032	PTU	7D14	W	2194
2119268767	NEB	55CS	W	2114
5341884086	SK	S12EM	W	2364
4779174699	DW	3841A	W	2462
1939065269	PO	16880	W	2696
1939065269	PO	3921Q	L	2073
5459753232	BSI	24678	W	1629
4761158900	OKL	83130	W	2139
1127056356	PKS	C568	W	2944
1361555378	SK	WM236	L	2250
1278408463	PN	16782	W	2190
3114182744	SK	S98QG	W	2074
4458233905	DW	3344T	L	1200
1617995032	PTU	L690	L	1965
4761158900	OKL	74242	L	1894
4241680809	SK	RG347	W	1946
1524870307	SK	N89WP	L	1810
1818291355	SK	Z78PZ	L	2448
4653095092	ONY	1245	W	1995
6758177505	KTA	512R	L	2216
1278408463	PN	16784	L	2226
3318203338	SK	LG353	L	2640
