idosoby imie nazwisko matematyka informatyka fizyka jezykobcy plec
k160 Wiktor Marszalek 27 69 46 89 m
k097 Krystian Hofman 100 100 68 100 m
k059 Krystian Kozak 14 86 44 100 m
k065 Ewelina Blizniak 82 83 100 100 k
k139 Kacper Lach 100 66 62 100 m
k080 Filip Lach 100 100 74 60 m
k197 Grzegorz Kogut 17 17 26 65 m
k156 Janusz Jurczak 100 100 98 100 m
k180 Krzysztof Peszek 16 100 47 100 m
k143 Dorota Kulig 100 81 92 51 k
k087 Maciej Rada 81 100 84 77 m
k136 Dorota Chojnawiak 78 63 100 41 k
k070 Bartlomiej Kogut 13 15 100 82 m
k050 Jan Wrobel 100 100 2 73 m
k042 Krzysztof Bukowiec 15 91 100 3 m
k140 Igor Grzegorczyk 100 100 100 88 m
k115 Joanna Kowal 100 100 100 76 k
k152 Jan Peszek 40 100 6 71 m
k111 Dominik Koniec 56 100 45 100 m
k040 Piotr Kopacz 96 14 68 51 m
k004 Zofia Kogut 91 100 15 100 k
k157 Marek Ochota 4 71 64 100 m
k181 Marek Lach 100 82 100 97 m
k072 Piotr Peszek 77 100 100 63 m
k005 Bartlomiej Wisnia 100 100 68 100 m
k008 Marcin Szpila 27 11 100 84 m
k124 Ewelina Pietczak 90 93 100 100 k
k060 Anastazja Kucharz 100 1 60 100 k
k135 Kamil Bobiak 40 24 63 100 m
k061 Natalia Szlachta 11 100 100 34 k
k114 Natalia Kiszka 7 100 100 7 k
k198 Kamil Bobiak 100 91 0 37 m
k066 Rafal Koniec 65 47 11 22 m
k108 Zofia Krol 12 11 33 22 k
k158 Piotr Borsuk 45 98 19 100 m
k027 Piotr Dab 79 100 87 100 m
k048 Dominik Janczak 100 29 100 34 m
k002 Piotr Kaczor 99 100 19 100 m
k133 Zofia Chojnik 100 101 70 93 k
k077 Miroslawa Salata 40 46 100 101 k
k189 Dominik Kaczmarek 100 100 100 100 m
k081 Krzysztof Hofman 25 100 63 64 m
k169 Katarzyna Weber 100 100 100 100 k
k106 Natalia Kopacz 7 100 36 100 k
k105 Mateusz Blizniak 84 100 100 100 m
k122 Natalia Dab 45 100 93 14 k
k046 Jedrzej Mazur 89 76 27 82 m
k128 Dorota Ozog 100 12 100 100 k
k052 Monika Gnat 100 100 54 100 k
