KOD_PRACOWNIKA;NAZWISKO;IMIE
P1;Starczewska;Julia
P2;Rosp³och;Filip
P3;Zawadzka;Karolina
P4;Ciêpiel;Aleksandra
P5;Witt;Jan
P6;Ha³ko;Bartosz
P7;Klunder;Patrycja
P8;Rzepka;Agnieszka
P9;Bigorowska;Kinga
P10;Biedroñ;Mateusz
P11;Piekoszewska;Marianna
P12;¯bikowska;Emilia
P13;Lafert;Agata
P14;Dzbanuszek;Denissa
P15;P³awski;Michalina
P16;Czekalski;Miko³aj
P17;Chylarecka;Aleksandra
P18;Bureta;Klaudia
P19;Owczarzak;Daria
P20;Kujawa;Marta
P21;Mazurkiewicz;Iga
P22;Ludwig;Natalia
P23;Andryañczyk;Kornelia
P24;Kwiatkowska;Klaudia
P25;Kot;Micha³
P26;Grzegorczyk;Katarzyna
P27;Kabaciñska;Dominika
P28;Szews;Barbara
P29;Barañska;Magdalena
P30;Go³êbiewski;Micha³
