id_osoby	imie	nazwisko	grupa
1	Kacper	Broniszewski	G1
2	Adrian	Lopatka	G1
3	Albert	Mikos	G1
4	Krzysztof	Plata	G1
5	Lukasz	Rdzanek	G1
6	Igor	Rybarczyk	G1
7	Urszula	Smietanka	G1
8	Marek	Teodorczuk	G1
9	Karol	Wojciul	G1
10	Dawid	Zajaczkowski	G1
11	Maciej	Brant	G2
12	Pawel	Chalecki	G2
13	Robert	Czaja	G2
14	Grzegorz	Czernatowicz	G2
15	Pawel	Gajewski	G2
16	Katarzyna	Hazubska	G2
17	Pawel	Jakimowicz	G2
18	Adam	Janicki	G2
19	Bartlomiej	Jawoszek	G2
20	Rafal	Krawczyk	G2
21	Amanda	Lesniak	G2
22	Michal	Lubanski	G2
23	Paulina	Krych	G2
24	Dawid	Goczol	G3
25	Natalia	Gieniec	G3
26	Piotr	Galik	G3
27	Natalia	Piwek	G3
28	Jacek	Hajduga	G3
29	Jolanta	Klein	G3
30	Marek	Kamecki	G3
31	Katarzyna	Buslawska	G3
32	Monika	Korytkowska	G3
33	Mariusz	Landwojtowicz	G3
34	Karolina	Matuszewska	G3
35	Joanna	Matura	G3
36	Anna	Piasecka	G3
37	Katarzyna	Zienowicz	G3
38	Krystian	Kowalczyk	G3
39	Paulina	Przewozna	G4
40	Joanna	Marek	G4
41	Beata	Tomkowicz	G4
42	Damian	Matysiok	G4
43	Daria	Dudek	G4
44	Slawomir	Michalak	G4
45	Maria	Slusarczynska	G4
46	Agnieszka	Sierotowicz	G4
47	Andrzej	Kowalczyk	G4
48	Bartosz	Hnizdo	G4
49	Piotr	Wozniak	G4
50	Bartlomiej	Gosk	G4
51	Michal	Kaczmarek	G4
52	Andrzej	Litwin	G5
53	Anna	Danelczyk	G5
54	Sylwia	Bosek	G5
55	Agnieszka	Paustian	G5
56	Agnieszka	Swilo	G5
57	Anna	Glowczyk	G5
58	Sebastian	Jakubowski	G5
59	Jan	Sobieski	G5
60	Tomasz	Jakubik	G5
