PESEL;Nazwisko;Imie;Plec;NFZ
37112515913;Latacki;Stanislaw;m;Opolski
38012109293;Stachniuk;Przemyslaw;m;Dolnoslaski
47101603441;Dubiel;Zdzislawa;k;Slaski
48022410659;Losik;Zenon;m;Mazowiecki
49051105785;Kazienko;Wladyslawa;k;Opolski
55031404478;Halicki;Waldemar;m;Lubelski
55081603378;Roman;Wojciech;m;Lodzki
57011501860;Kaczorska;Marta;k;Lodzki
57060206273;Zych;Konrad;m;Mazowiecki
57070405703;Abramska;Monika;k;Wielkopolski
58071001525;Bognar;Jolanta Anna;k;Dolnoslaski
58100411750;Kukiek;Franciszek;m;Mazowiecki
58110214590;Mazan;Wladyslaw;m;Lodzki
59052816316;Konieczny;Henryk;m;Podkarpacki
59082607578;Lupka;Edmund;m;Slaski
60012200995;Ryniek;Mateusz;m;Mazowiecki
60060616388;Mozor;Beata;k;Swietokrzyski
61083117327;Panik;Agnieszka;k;Opolski
61090606115;Kolski;Czeslaw;m;Swietokrzyski
61111417127;Zurka;Barbara;k;Mazowiecki
62010912097;Napieraj;Grzegorz;m;Podlaski
62110801331;Cisek;Ryszard;m;Lubelski
63072206491;Kontecki;Jaroslaw;m;Dolnoslaski
64061422815;Patyk;Ryszard;m;Dolnoslaski
64081501326;Niagoda;Paulina;k;Podkarpacki
64110211225;Kobylarz;Marianna;k;Podlaski
65032405578;Smereka;Marek;m;Lodzki
65043005160;Tomczy;Halina;k;Podkarpacki
66041918688;Matrasik;Weronika;k;Lubelski
66041918689;Matrasik;Weronika;k;Zachodniopomorski
66052812472;Robach;Wojciech;m;Wielkopolski
66090411639;Krzyszton;Mieczyslaw;m;Podkarpacki
67011700065;Miklas;Monika;k;Opolski
67011700066;Miklas;Monika;k;Mazowiecki
67011700069;Miklas;Monika;k;Slaski
67012656672;Huk;Janusz;m;Mazowiecki
67060513342;Baron;Milena;k;Slaski
67091005928;Bednarczyk;Barbara;k;Ma這polski
68021409593;Zajdek;Krzysztof;m;Lodzki
68041406158;Swiech;Jacek;m;Kujawsko-Pomorski
68042717761;Sobczyk;Aneta;k;Zachodniopomorski
68063014192;Goralczyk;Witold;m;Slaski
68072816878;Wojtowicz;Tomasz;m;Lubelski
68081498747;Rutkowska;Alina;k;Ma這polski
68122105676;Filipowski;Patryk;m;Swietokrzyski
69072206491;Wolanin;Mateusz;m;Opolski
70080221260;Smardz;Maria;k;Swietokrzyski
71073306491;Kopacki;Jakub;m;Lodzki
73061804623;Hugat;Maria;k;Mazowiecki
74031900092;Witok;Hubert;m;Opolski
74041315750;Krzemien;Filip;m;Kujawsko-Pomorski
76100405054;Kuran;Mateusz;m;Podkarpacki
76100503653;Szatarski;Wiktor;m;Podkarpacki
77021713280;Kumorek;Krystyna;k;Swietokrzyski
77051716095;Romanowicz;Marian;m;Kujawsko-Pomorski
77051910922;Kowalska;Kamila;k;Lubelski
77072206491;Kotek;Marek;m;Podkarpacki
78010716914;Midal;Maciej;m;Lubuski
78013002472;Sadek;Rafal;m;Dolnoslaski
78080211201;Nowak;Sylwia;k;Dolnoslaski
78092610177;Wasik;Damian;m;Zachodniopomorski
78110508097;Rybak;Wojciech;m;Slaski
79012101902;Milisz;Dominika;k;Dolnoslaski
79021111148;Podlaska;Kamila;k;Dolnoslaski
79021111149;Podlaska;Kamila;k;Mazowiecki
79021111150;Podlaska;Kamila;m;Kujawsko-Pomorski
79021111154;Podlaska;Kamila;m;Wielkopolski
79021111155;Podlaska;Kamila;m;Opolski
79041211112;Holub;Marian;m;Mazowiecki
79071817259;Kwiatek;Tadeusz;m;Pomorski
79091903091;Drug;Mariusz;m;Dolnoslaski
79111100738;Serwis;Robert;m;Lubelski
81041109688;Wojciak;Anna;k;Podlaski
81041109689;Wojciak;Anna;k;Ma這polski
81051400754;Strzelczyk;Mariusz;m;Wielkopolski
82040211426;Czyzik;Agnieszka;k;Podlaski
82040502843;Grzywacz;Ewa;k;Opolski
82051707083;Wiatr;Marianna;k;Slaski
82062013372;Sokolowski;Dominik;m;Pomorski
83010118220;Urban;Gwendolina;k;Pomorski
83050200812;Kocaj;Norbert;m;Opolski
83052715431;Luterek;Dariusz;m;Opolski
83061111659;Kisiel;Marek;m;Dolnoslaski
83071211072;Chmielik;Piotr;m;Opolski
84050101126;Cida;Rafal;k;Lodzki
85021713915;Baldy;Jan;m;Wielkopolski
85062011484;Zagon;Sara;k;Pomorski
86041707294;Olej;Ernest;m;Lubuski
87041218688;Mocarna;Magdalena;k;Mazowiecki
87041378688;Wodacka;Anna;k;Podlaski
88061308688;Wojciak;Ewelina;k;Mazowiecki
88112100164;Rosiak;Dorota;k;Wielkopolski
89030909988;Mastal;Patrycja;k;Lubuski
89121301113;Zawada;Marek;m;Pomorski
90031906608;Matus;Ewa;k;Dolnoslaski
90072206491;Kontecki;Jakub;m;Lodzki
90072206492;Kontecki;Jakub;m;Lubuski
45032403378;Hoszowski;Roman;m;Dolnoslaski
52010604944;Piotrowska;Maria;k;Lodzki
55050410388;Mrozik;Halina;k;Zachodniopomorski
55061412915;Pietrzak;Ryszard;m;Zachodniopomorski
55113010737;Sobota;Mateusz;m;Kujawsko-Pomorski
56011800170;Andrzejczak;Grzegorz;m;Wielkopolski
58051200633;Uszyski;Dariusz;m;Zachodniopomorski
58061002274;Furman;Patryk;m;Lubuski
58112502306;Grabowska;Waclawa;k;Podlaski
59112112025;Drak;Alicja Bozena;k;Dolnoslaski
60022310848;Rossa;Barbara;k;Zachodniopomorski
60051917742;Szkudnik;Dorota;k;Lodzki
60092418673;Synka;Tomasz;m;Podlaski
61052108312;Kochanowski;Maciej;m;Podlaski
61071807924;Sobota;Helena;k;Lodzki
61080504779;Cheminiak;Ryszard;m;Dolnoslaski
61091014395;Kosak;Andrzej;m;Mazowiecki
61101405036;Stawek;Edward;m;Pomorski
62041705967;Wrobel;Kamila;k;Zachodniopomorski
62070803676;Klechicki;Jan;m;Dolnoslaski
63021401257;Ciupak;Marian;m;Kujawsko-Pomorski
63092007350;Leman;Piotr;m;Kujawsko-Pomorski
63102007323;Rudnicka;Irena;k;Lodzki
63121303156;Walczak;Wieslaw;m;Lubuski
64012808431;Borysewicz;Krzysztof;m;Lubuski
64042313475;Trojanowski;Waldemar;m;Zachodniopomorski
64070509590;Gornik;Tadeusz;m;Pomorski
64082514788;Zadworna;Elzbieta;k;Dolnoslaski
64091312364;Guzik;Jolanta;k;Wielkopolski
64111601991;Farmon;Kacper;m;Zachodniopomorski
65021701832;Kutwa;Andrzej;m;Zachodniopomorski
65032211069;Raczek;Irena;k;Podkarpacki
65061310267;Magierowicz;Beata;k;Swietokrzyski
65121407618;Klusek;Mateusz;m;Mazowiecki
66051901775;Kieljanski;Marek;m;Opolski
66070306245;Irakit;Mariola;k;Lubuski
66071707373;Klecko;Andrzej;m;Kujawsko-Pomorski
66083001254;Pietruszka;Grzegorz;m;Zachodniopomorski
66101306110;Bolecki;Waclaw;m;Zachodniopomorski
66102606608;Galewicz;Krystyna;k;Dolnoslaski
66111106414;Kolonko;Marek;m;Swietokrzyski
66121804986;Szczesna;Ewa;k;Lodzki
67011509297;Lowka;Mariusz;m;Lubuski
67020901046;Pawlik;Jolanta;k;Lodzki
67021304114;Baczek;Kleofas;m;Dolnoslaski
67031100926;Jadak;Violetta;k;Lodzki
67032009491;Swatek;Mateusz;m;Swietokrzyski
67041107573;Bilkin;Jerzy;m;Pomorski
67053010892;Wieczorek;Roman;m;Slaski
67070506024;Milczarz;Barbara;k;Mazowiecki
67080610876;Polkiewicz;Artur;m;Wielkopolski
67092610882;Jankowiak;Anna;k;Dolnoslaski
67110109514;Klimczak;Jan;m;Slaski
68010308085;Blanka;Dorota;k;Dolnoslaski
68021905428;Krajewska;Beata;k;Wielkopolski
68031310463;Katek;Krystyna;k;Lodzki
68033108127;Patyza;Teresa;k;Swietokrzyski
68042006021;Krawczyk;Anna;k;Lodzki
68082107375;Gosciej;Ireneusz;m;Opolski
68082905768;Bolek;Sabina;k;Opolski
68112308383;Rzelska;Jadwiga;k;Zachodniopomorski
68120503439;Niczynski;Tomasz;m;Ma這polski
68121704235;Jagoda;Radoslaw;m;Zachodniopomorski
69010602322;Tyrkowska;Ewa Krystyna;k;Swietokrzyski
69012505586;Wierzchowska;Franciszka;k;Slaski
69021102501;Beata;Marzena;k;Slaski
69031508599;Bednarz;Marek;m;Lodzki
69041813438;Rajczewski;Janusz;m;Zachodniopomorski
69041815225;Smyk;Zofia;k;Podkarpacki
69052406393;Podlewski;Pawel;m;Podkarpacki
69062810931;Markowski;Jacek;m;Lodzki
69101800943;Mrozinska;Agata;k;Pomorski
69111903067;Michalska;Jolanta;k;Kujawsko-Pomorski
69112708104;Roter;Marta;k;Lubelski
70033004403;Parol;Beata;k;Lubelski
70041708805;Curuk;Blanka;k;Mazowiecki
70050606556;Kowalczyk;Mariusz;m;Zachodniopomorski
70071307137;Orczykowski;Jan;m;Slaski
70082404957;Nowakowski;Leonard;m;Dolnoslaski
70102009065;Swistak;Violetta;k;Lodzki
70102204569;Stachura;Marzanna;k;Pomorski
70110704666;Barucha;Zofia;k;Lodzki
70111203966;Burka;Danuta;k;Pomorski
71020705296;Szarota;Stefan;m;Lodzki
71030713168;Maska;Hanna;k;Kujawsko-Pomorski
71041705884;Oleksy;Halina;k;Lubuski
71061303855;Lukas;Grzegorz;m;Lubuski
71082411915;Walasek;Miroslaw;m;Slaski
71090207313;Wolski;Zbigniew;m;Lubuski
71090405308;Kosno;Rozalia;k;Mazowiecki
71090705767;Tymcik;Beata;k;Lubelski
71091503425;Jatka;Anna;k;Lubuski
71100802758;Osuch;Adam;m;Kujawsko-Pomorski
71103110221;Golec;Beata;k;Slaski
71121406229;Franaszek;Barbara;k;Swietokrzyski
72020107767;Lechowicz;Anna;k;Lodzki
72021502868;Tereszkiewicz;Edyta;k;Opolski
72040311562;Pasierb;Halina;k;Kujawsko-Pomorski
72040605373;Nykiel;Robert;m;Wielkopolski
72051615475;Maliczewski;Bartosz;m;Pomorski
72062910174;Cichon;Piotr Ireneusz;m;Slaski
72071601678;Kleniuk;Mariusz;m;Lodzki
72081609042;Kowalska;Anna;k;Mazowiecki
