Id_klienta;Nazwisko;Imie;Miasto
200;Koprowski;Maurycy;Wroclaw
201;Cicherski;Szymon;Wroclaw
202;Olitkowska;Klaudia;Wroclaw
203;Majewski;Maciej;Wroclaw
204;Podbereski;Jakub;Wroclaw
205;Wojcik;Alan;Wroclaw
206;Nowak;Latika;Wroclaw
207;Piotrowski;Jacek;Wroclaw
208;Bialek;Zuzanna;Wroclaw
209;Galla;Paulina;Wroclaw
210;Glasmann;Paula;Wroclaw
211;Aniol;Wojciech;Wroclaw
212;Cuper;Olga;Wroclaw
213;Becla;Aleksander;Wroclaw
214;Grodzki;Oskar;Wroclaw
215;Ulwan;Anna;Wroclaw
216;Goszczynski;Patryk;Wroclaw
217;Bigos;Zosia;Wroclaw
218;Waclawski;Bartosz;Wroclaw
219;Wludyka;Alexander;Wroclaw
220;Wizniewski;Andrzej;Wroclaw
221;Florek;Sandra;Wroclaw
222;Korbus;Marta;Wroclaw
223;Piechalski;Jan;Wroclaw
224;Potocki;Mariusz;Sobotka
225;Korda;Mateusz;Walbrzych
226;Depczynski;Stanislaw;Olawa
227;Erbel;Urszula;Jelenia Gora
228;Kutnik;Marcin;Olesnica
229;Dabrowski;Szymon;Trzebnica
230;Ciupa;Wiktoria;Zlotoryja
231;Michalak;Krzysztof;Bielawa
232;Mieczkowski;Krystian;Wolow
233;Jaglowska;Natalia;Sobotka
234;Czechowska;Wiktoria;Walbrzych
235;Domanski;Sebastian;Olawa
236;Kotowska;Marianna;Jelenia Gora
237;Nieradko;Kajetan;Olesnica
238;Mendrek;Krzysztof;Trzebnica
239;Trawicki;Borys;Zlotoryja
240;Sobon;Filip;Bielawa
241;Cejnog;Kamila;Wolow
242;Jazkowiec;Nadia;Sobotka
243;Jarosiewicz;Milosz;Walbrzych
244;Kmiecik;Martyna;Olawa
245;Kilanowska;Michalina;Jelenia Gora
246;Markowiak;Leon;Olesnica
247;Sikora;Hubert;Trzebnica
248;Szczuplinska;Emilia;Zlotoryja
249;Szubarczyk;Dawid;Bielawa
250;Krefta;Mateusz;Wolow
251;Malinowski;£ukasz;Wolow
252;Czerlonek;Weronika;Wolow
253;Szostakowska;Dominika;Wolow
254;Kaleta;Mikolaj;Wolow
255;Kocur;Martyna;Zlotoryja
256;Wit;Andrzej;Bielawa
257;Rybienik;Igor;Wolow
258;Puzlecka;Julia;Sobotka
259;Juralewicz;Mikolaj;Walbrzych
260;Piwowarek;Jan;Walbrzych
261;Jurczak;Mikolaj;Walbrzych
262;Ogrodowczyk;Konstancja;Walbrzych
263;Strojek;Filip;Walbrzych
264;Zaremba;Aleksandra;Walbrzych
265;Gorska;Oliwia;Walbrzych
266;Kwidzinska;Paulina;Bielawa
267;Siemistkowska;Jagoda;Bielawa
268;Ulewicz;Bartosz;Bielawa
269;Tokarska;Antonia;Wroclaw
270;Krupa;Mateusz;Wroclaw
271;Swirk;Antonina;Wroclaw
272;Kizielewicz;Michal;Wroclaw
273;Kecler;Milena;Wroclaw
274;Zochowska;Adriana;Wroclaw
275;Kozlowska;Malgorzata;Wroclaw
276;Lewandowska;Maja;Wroclaw
277;Górlikowski;Patrick;Wroclaw
278;Kowalska;Maria;Wroclaw
279;Katende;Milena;Wroclaw
280;Tokarz;Anna;Wroclaw
281;Radosz;Julia;Wroclaw
282;Komorowska;Michal;Wroclaw
283;Zakrzewska;Olga;Wroclaw
284;Zakrzewska;Ewa;Wroclaw
285;Rohde;Jakub;Wroclaw
286;Smoliniec;Franciszek;Wroclaw
287;Paluchowski;Julian;Wroclaw
288;Bialaszewski;Wiktor;Wroclaw
289;Bielawski;Tymoteusz;Wroclaw
290;Pawlun;Karolina;Wroclaw
291;Zielinski;Mariusz;Wroclaw
292;Majchrzak;£ucja;Wroclaw
293;Koczakowska;Marta;Sobotka
294;Brzozowski;Wojciech;Sobotka
295;Jakubczyk;Natalia;Sobotka
296;Krol;Malgorzata;Sobotka
297;Bialy;Viktor;Sobotka
298;Drozd;Radoslaw;Sobotka
299;Srokowska;Helena;Olesnica
300;Srokowska;Iga;Trzebnica
301;Cejman;Szymon;Zlotoryja
302;Stambuldzys;Helena;Olesnica
303;Adryan;Xawery;Trzebnica
304;Kwidzinski;Marceli;Zlotoryja
305;Ostrowska;Kelly;Olesnica
306;Karmasz;Michal;Trzebnica
307;Smiecinska;Antonina;Zlotoryja
308;Czecholinska;Wiktoria;Olesnica
309;PodraZka;Jakub;Trzebnica
