id_pasazera	nazwisko	imie	adres	miejscowosc	tel
100	Kowal	Waldemar	Wiejska 4	Kowary	507766201
101	Tatarkiewicz	Mariusz	Legnicka 93/6	Wroclaw	852447563
102	Dudek	Maksymilian	ZImowa 37/3	Boleslawiec	972167198
103	Modrzewska	Renata	Swidnicka 70/6	Jaworzyna Slaska	698136717
104	Plawgo	Karolina	Strzelecka 15/9	Zgorzelec	846827828
105	Wilk	Aleksandra	Czerwcowa 89/1	Chojnow	912956123
106	Stasiak	Maja	Glogowska 36/2	Jawor	229722825
107	Herman	Malgorzata	Walbrzyska 48/8	Jaworzyna Slaska	452737649
108	Buski	Lech	Sygietynskiego 55/9	Jelenia Gora	513436153
109	Kretowska	Janina	Brzozowa 77/2	Brzeg	774818869
110	Cyrankowska	Ilona	Zielona 22/3	Boleslawiec	665045231
111	Imbierowicz	Hanna	Krowia 13	Kowary	543112095
112	Kulka	Jacek	Wysoka 49/10	Gora	685114252
113	Lange	Euzebiusz	Szewska 51/10	Brzeg	289345716
114	Hanke	Jakub	Malczewskiego19/2	Jelenia Gora	591155181
115	Stasiak	Daniel	Wroclawska 13/5	Jawor	346886589
116	Nowakowski	Marcin	Majowa 16/9	Walbrzych	744647732
117	Pastuszka	Kornelia	Wrzosowa 100/10	Zgorzelec	237639246
118	Kruczek	Tadeusz	Zielona 12/7	Chojnow	184638924
119	Wojciechowska	Felicja	Jelenia 26/5	Wroclaw	294982159
120	Nowotko	Marceli	Wodna 54/2	Wroclaw	334159444
121	Karlowski	Henryk	Niemala 12/23	Lubin	432986225
122	Nowakowska	Joanna	Pawia 16/5	Glogow	623998512
123	Kowalczyk	Anna	Lipcowa 59/8	Walbrzych	839526548
124	Witkowski	Hubert	Orla 43/5	Lubin	567092834
125	Stawikowska	Paulina	Kurkowa 72/6	Wroclaw	127311773
126	Walczakowska	Krystyna	Dluga 74/7	Gora	138827222
127	Kowal	Agata	Kiepury 59/8	Jelenia Gora	626732934
128	Kaczorek	Patrycja	Brzozowa 17/6	Brzeg	974662263
129	Szydlowska	Alicja	Kurkowa 10/6	Wroclaw	528261327
130	Kowal	Zenon	Czerwcowa 94/10	Walbrzych	565517989
131	Burkiewicz	Katarzyna	Kiepury 67/7	Jelenia Gora	252292881
132	Bahdaj	Adam	Lipcowa 53/6	Walbrzych	536831439
133	Skoniecka	Agata	Kurkowa 94/2	Wroclaw	246621835
134	Hanke	Amelia	Malczewskiego 19/2	Jelenia Gora	716528125
135	Walentowicz	Kinga	Sportowa 23/1	Polkowice	546334985
136	Komarnicki	Dawid	Wiosenna 94/8	Brzeg	722665344
