Data_wypozycz	Data_zwrotu	ID_sprzetu	Transport_km	Nr_dowodu_osoby
2014-01-02	2014-01-07	106	0	IFM994328
2014-01-02	2014-01-07	14	0	FXN638961
2014-01-02	2014-01-05	136	0	MMX811773
2014-01-02	2014-01-05	100	0	MMN485413
2014-01-03	2014-01-07	74	0	CXC675928
2014-01-03	2014-01-07	42	0	WRS984730
2014-01-03	2014-01-07	113	0	GBI191196
2014-01-03	2014-01-07	29	0	GZX254809
2014-01-06	2014-01-14	99	16	GGF211652
2014-01-06	2014-01-12	102	0	RMX740236
2014-01-06	2014-01-08	145	0	FMR294678
2014-01-06	2014-01-08	116	0	MIK315388
2014-01-07	2014-01-13	126	0	FMC145256
2014-01-07	2014-01-12	109	0	XIX396709
2014-01-07	2014-01-12	9	0	XZY791580
2014-01-07	2014-01-09	143	0	HHJ048276
2014-01-08	2014-01-13	68	8	ZKF574569
2014-01-08	2014-01-12	99	15	MIZ630118
2014-01-08	2014-01-12	23	14	GAE857437
2014-01-08	2014-01-12	55	0	MAJ008067
2014-01-09	2014-01-14	77	0	FFX259722
2014-01-09	2014-01-13	13	0	ICM332901
2014-01-09	2014-01-13	27	0	GMK697709
2014-01-09	2014-01-12	65	0	JWG946006
2014-01-10	2014-01-14	24	22	FRW532538
2014-01-10	2014-01-15	83	0	GMF041390
2014-01-10	2014-01-13	137	0	GII780630
2014-01-10	2014-01-13	121	0	FCK765416
2014-01-13	2014-01-19	72	0	BBC503628
2014-01-13	2014-01-16	144	0	MEM219066
2014-01-13	2014-01-16	117	0	GMM060947
2014-01-13	2014-01-16	3	0	HXF755189
2014-01-14	2014-01-19	90	0	WMM804400
2014-01-14	2014-01-16	138	0	ZMI606140
2014-01-14	2014-01-16	35	0	XFJ533723
2014-01-14	2014-01-16	76	0	FMG237610
2014-01-15	2014-01-20	111	0	GEY174901
2014-01-15	2014-01-20	94	0	ZPC169756
2014-01-15	2014-01-19	110	0	REJ208659
2014-01-15	2014-01-19	20	0	FCX089171
2014-01-16	2014-01-20	5	0	CHN787118
2014-01-16	2014-01-20	149	0	FXI692902
2014-01-16	2014-01-20	53	0	EFG980190
2014-01-16	2014-01-19	33	0	CCF636222
2014-01-17	2014-01-21	91	0	UMS371124
2014-01-17	2014-01-20	17	0	BOE306185
2014-01-17	2014-01-19	40	0	FXG752943
2014-01-17	2014-01-19	104	0	CCW108120
2014-01-20	2014-01-22	150	6	GCZ348095
2014-01-20	2014-01-22	93	0	MEM712013
2014-01-20	2014-01-21	81	0	OEF945742
2014-01-20	2014-01-21	127	0	IFG328578
2014-01-21	2014-01-27	22	12	FFF756586
2014-01-21	2014-01-26	66	0	GXM955242
2014-01-21	2014-01-23	88	0	BXC704928
2014-01-21	2014-01-23	95	0	HBX248636
2014-01-21	2014-01-23	75	0	MXZ546041
2014-01-21	2014-01-22	51	0	HCI585052
2014-01-21	2014-01-22	7	0	ZGM921515
2014-01-22	2014-01-27	119	0	FJP548057
2014-01-22	2014-01-27	69	0	FFI618711
2014-01-22	2014-01-26	12	0	ZDG411031
2014-01-22	2014-01-26	125	0	GXC218109
2014-01-23	2014-01-27	147	0	FHC703022
2014-01-23	2014-01-27	28	0	HBG255271
2014-01-23	2014-01-27	115	0	XDM683313
2014-01-23	2014-01-26	105	0	MFG932412
2014-01-24	2014-01-29	98	16	MMK555315
2014-01-24	2014-01-28	25	0	EFX601939
2014-01-24	2014-01-27	101	0	EMX738706
2014-01-24	2014-01-26	108	0	KMM215428
2014-01-27	2014-02-03	100	0	NXI433275
2014-01-27	2014-02-03	57	0	XFM726744
2014-01-27	2014-02-03	130	0	WHP761141
2014-01-27	2014-02-02	148	0	XKC679191
2014-01-27	2014-01-30	37	0	MXA952681
2014-01-27	2014-01-30	59	0	MXG008858
2014-01-27	2014-01-30	142	0	CGM109686
2014-01-27	2014-01-28	85	0	GXM268089
2014-01-28	2014-02-02	133	18	SMK506186
