Id_studenta;Imie;Nazwisko;Uczelnia;Miejsce_zam;Rok_studiow;Dochod_na_osobe
1;Jadwiga;Baranowska;Uniwersytet Krolewski;Krosno;I;2382
2;Zofia;Chorzowska;Akademia Sztuk Pieknych;Pulawy;II;1549
3;Katarzyna;Bilska;Uniwersytet Krolewski;Lubliniec;I;3037
4;Michal;Rada;Politechnika Krolewska;Glucholazy;II;1712
5;Pawel;Milek;Politechnika Informatyczno-Elektroniczna;Koniakow;IV;1459
6;Marcin;Biernat;Politechnika Krolewska;Kogutek;I;931
7;Gracja;Bijakowska;Politechnika Informatyczno-Elektroniczna;Raciborz;V;1482
8;Wojciech;Zaluski;Politechnika Krolewska;Jejkowice;II;2141
9;Martyn;Kowalski;Uniwersytet Krolewski;Mikolow;V;2713
10;Jolanta;Ochala;Uniwersytet Krolewski;Rybnik;V;3332
11;Przemyslaw;Planeta;Akademia Sztuk Pieknych;Bedzin;V;444
12;Barbara;Michalska;Politechnika Krolewska;Ruda Slaska;I;2368
13;Kamil;Berakacz;Politechnika Informatyczno-Elektroniczna;Krapkowice;I;1765
14;Teresa;Kuc;Uniwersytet Krolewski;Jaworzno;II;2602
15;Matylda;Zielinska;Uniwersytet Sportu i Turystyki;Wisla;I;2949
16;Wieslawa;Babiarz;Uniwersytet Krolewski;Oswiecim;II;1576
17;Natalia;Barton;Wyzsza Szko³a Techniczna;Sosnowiec;I;409
18;Alojzy;Wolak;Uniwersytet Sportu i Turystyki;Rybnik;IV;1767
19;Daniel;Lisiecki;Uniwersytet Krolewski;Szczyrk;I;1867
20;Adam;Bzinkowski;Politechnika Krolewska;Rzeszow;I;782
21;Andrzej;Tokarski;Uniwersytet Krolewski;Piotrkow Trybunalski;I;2580
22;Gabriela;Kolska;Uniwersytet Krolewski;Myslowice;I;1111
23;Bogumila;Kolodziej;Uniwersytet Krolewski;Nowy Targ;II;630
24;Augustyna;Swierkowska;Uniwersytet Sportu i Turystyki;Rajcza;IV;1489
25;Tomasz;Tutaj;Politechnika Informatyczno-Elektroniczna;Chyzne;II;3079
26;Sylwester;Jarecki;Uniwersytet Muzyczny;Sanok;IV;3222
27;Antoni;Banakiewicz;Politechnika Krolewska;Wisla;I;1003
28;Piotr;Skiba;Politechnika Krolewska;Limanowa;III;2917
29;Lidia;Kazdron;Politechnika Krolewska;Wojkowice;III;2646
30;Karol;Krol;Uniwersytet Pedagogiczny;Brzesko;I;365
31;Beata;Kotlarska;Politechnika Krolewska;Sosnicowice;I;1638
32;Jan;Tyranowski;Uniwersytet Krolewski;Katowice;III;3333
33;Celina;Koral;Politechnika Krolewska;Gieraltowice;V;1242
34;Jacek;Witebski;Uniwersytet Krolewski;Czestochowa;I;1168
35;Karol;Kedzierski;Politechnika Krolewska;Lomza;III;1374
36;Bartosz;Samek;Politechnika Informatyczno-Elektroniczna;Koniakow;I;543
37;Natalia;Goral;Politechnika Krolewska;Myslowice;I;1947
38;Janusz;Figielski;Uniwersytet Krolewski;Tomaszow Lubelski;I;2223
39;Henryk;Klosinski;Uniwersytet Muzyczny;Rabka;I;1611
40;Krzysztof;Dyszy;Uniwersytet Ekonomiczny;Rybnik;I;2898
41;Barbara;Szelest;Uniwersytet Krolewski;Myslowice;I;1666
42;Monika;Chojecka;Uniwersytet Krolewski;Kolbaskowo;I;2124
43;Elzbieta;Jandura;Uniwersytet Krolewski;Nysa;V;1552
44;Roman;Aron;Uniwersytet Krolewski;Dlugopole-Zdroj;I;997
45;Joanna;Lodziarz;Uniwersytet Krolewski;Ledziny;I;602
46;Martyna;Bobrowska;Politechnika Krolewska;Ilawa;III;1263
47;Dominik;Zagajewski;Politechnika Informatyczno-Elektroniczna;Sosnowiec;V;448
48;Marianna;Lyszkowska;Politechnika Krolewska;Terespol;I;2334
49;Anna;Tabor;Politechnika Informatyczno-Elektroniczna;Czestochowa;I;1777
