Imie	Nazwisko	Miasto	D_wyj	D_powr	Koszt_wyj
Karolina	Arska	Malbork	2014-01-02	2014-01-03	891,00
Justyna	Kolska	Siedlce	2014-01-02	2014-01-03	295,40
Dorota	Morska	Radom	2014-01-02	2014-01-03	302,50
Piotr	Roman	Krakow	2014-01-02	2014-01-02	501,50
Justyna	Tracz	Bydgoszcz	2014-01-02	2014-01-03	654,40
Kamil	Zabrzeski	Malbork	2014-01-02	2014-01-03	891,00
Patrycja	Andrycz	Lublin	2014-01-03	2014-01-04	439,70
Jerzy	Granica	Mielec	2014-01-03	2014-01-06	826,00
Marzena	Gras	Zgierz	2014-01-03	2014-01-04	331,50
Sebastian	Halik	Lublin	2014-01-03	2014-01-04	439,70
Andrzej	Klajn	Zgierz	2014-01-03	2014-01-05	450,50
Jerzy	Misiek	Radom	2014-01-03	2014-01-03	178,50
January	Pluta	Kutno	2014-01-03	2014-01-04	407,80
Gustaw	Poznanski	Mielec	2014-01-03	2014-01-03	442,00
Karolina	Arska	Lublin	2014-01-04	2014-01-05	439,70
Andrzej	Kolarski	Zgierz	2014-01-04	2014-01-05	331,50
Marta	Nowowiejska	Bydgoszcz	2014-01-04	2014-01-04	513,40
Piotr	Armowicz	Krakow	2014-01-05	2014-01-05	501,50
Karolina	Podkalicka	Mielec	2014-01-05	2014-01-05	442,00
Piotr	Bojarun	Olsztyn	2014-01-06	2014-01-06	363,80
Bonifacy	Barczewski	Siedlce	2014-01-07	2014-01-07	156,40
Olivia	Gabor	Kutno	2014-01-07	2014-01-07	278,80
Andrzej	Kolarski	Radom	2014-01-07	2014-01-07	178,50
Jerzy	Misiek	Zgierz	2014-01-07	2014-01-07	212,50
Lidia	Opolska	Lublin	2014-01-07	2014-01-07	290,70
Paulina	Basala	Bydgoszcz	2014-01-08	2014-01-08	513,40
Karolina	Janes	Bydgoszcz	2014-01-08	2014-01-08	513,40
Amelia	Wojtecka	Kalisz	2014-01-08	2014-01-08	442,00
Marzena	Grab	Siedlce	2014-01-09	2014-01-13	712,40
Amadeusz	Helski	Krakow	2014-01-09	2014-01-12	1116,50
Piotr	Rajczakowski	Siedlce	2014-01-09	2014-01-10	295,40
Karol	Witkiewicz	Kielce	2014-01-09	2014-01-10	485,70
Jerzy	Dusznicki	Kutno	2014-01-10	2014-01-10	278,80
Jerzy	Jurajski	Kalisz	2014-01-10	2014-01-10	442,00
Justyna	Krynicka	Malbork	2014-01-10	2014-01-10	680,00
Lidia	Opolska	Olsztyn	2014-01-10	2014-01-10	363,80
Patrycja	Andrycz	Kalisz	2014-01-12	2014-01-12	442,00
Piotr	Bojarun	Radom	2014-01-13	2014-01-16	550,50
Marek	Holski	Mielec	2014-01-13	2014-01-13	442,00
Jerzy	Jurajski	Katowice	2014-01-13	2014-01-13	494,70
Wojciech	Krokus	Mielec	2014-01-13	2014-01-14	570,00
Ewelia	Prus	Olsztyn	2014-01-13	2014-01-14	526,80
Sebastian	Puchacz	Kutno	2014-01-13	2014-01-13	278,80
Patrycja	Andrycz	Kutno	2014-01-14	2014-01-17	665,80
Sebastian	Argonski	Mielec	2014-01-14	2014-01-16	698,00
Bonifacy	Barczewski	Katowice	2014-01-14	2014-01-14	494,70
Eustachy	Bydgoski	Mielec	2014-01-14	2014-01-18	954,00
Paulina	Chorzowska	Malbork	2014-01-14	2014-01-14	680,00
Kornel	Czerski	Katowice	2014-01-14	2014-01-18	1290,70
Edwina	Elawa	Lublin	2014-01-14	2014-01-16	588,70
Sebastian	Halik	Zgierz	2014-01-14	2014-01-16	450,50
Karolina	Janes	Zgierz	2014-01-14	2014-01-18	688,50
Adam	Markowski	Katowice	2014-01-14	2014-01-15	693,70
Ewelia	Nyska	Zgierz	2014-01-14	2014-01-14	212,50
Narcyz	Polanicki	Malbork	2014-01-14	2014-01-15	891,00
Gustaw	Poznanski	Kutno	2014-01-14	2014-01-15	407,80
Piotr	Rajczakowski	Bydgoszcz	2014-01-14	2014-01-14	513,40
Jan	Rzymski	Kalisz	2014-01-14	2014-01-16	760,00
Zofia	Seredycka	Olsztyn	2014-01-14	2014-01-15	526,80
Dorota	Sosnowiecka	Malbork	2014-01-14	2014-01-17	1313,00
Piotr	Sworacz	Kielce	2014-01-14	2014-01-17	841,70
Karol	Witkiewicz	Kutno	2014-01-14	2014-01-18	794,80
Amelia	Wojtecka	Olsztyn	2014-01-14	2014-01-17	852,80
Olivia	Gabor	Kalisz	2014-01-15	2014-01-17	760,00
Marzena	Grab	Krakow	2014-01-15	2014-01-18	1116,50
Marzena	Gras	Siedlce	2014-01-15	2014-01-18	573,40
Sebastian	Halik	Kalisz	2014-01-15	2014-01-17	760,00
Janusz	Jurkicz	Malbork	2014-01-15	2014-01-17	1102,00
Justyna	Krynicka	Bydgoszcz	2014-01-15	2014-01-18	936,40
Ewa	Kwiska	Kielce	2014-01-15	2014-01-19	1019,70
Michalina	Lamda	Katowice	2014-01-15	2014-01-18	1091,70
Justyna	Laska	Olsztyn	2014-01-15	2014-01-19	1015,80
Wojciech	Magierowcz	Olsztyn	2014-01-15	2014-01-16	526,80
Piotr	Malski	Radom	2014-01-15	2014-01-16	302,50
Zofia	Maselska	Olsztyn	2014-01-15	2014-01-15	363,80
Zofia	Maselska	Radom	2014-01-15	2014-01-15	178,50
Marta	Nowowiejska	Mielec	2014-01-15	2014-01-16	570,00
Kazimiera	Parczewska	Kielce	2014-01-15	2014-01-16	485,70
Katarzyna	Piotrowska	Radom	2014-01-15	2014-01-16	302,50
Karolina	Podkalicka	Kielce	2014-01-15	2014-01-17	663,70
Grzegorz	Podolski	Kielce	2014-01-15	2014-01-17	663,70
Tomasz	Rzepka	Siedlce	2014-01-15	2014-01-19	712,40
Anna	Sobecka	Radom	2014-01-15	2014-01-16	302,50
Marek	Trzeski	Malbork	2014-01-15	2014-01-16	891,00
Paulina	Watrach	Malbork	2014-01-15	2014-01-18	1313,00
Paulina	Chorzowska	Mielec	2014-01-17	2014-01-17	442,00
Malwina	Papkin	Mielec	2014-01-17	2014-01-17	442,00
Sebastian	Puchacz	Siedlce	2014-01-17	2014-01-17	156,40
Justyna	Tracz	Siedlce	2014-01-17	2014-01-17	156,40
Adam	Markowski	Krakow	2014-01-18	2014-01-18	501,50
Ewelia	Nyska	Radom	2014-01-18	2014-01-19	302,50
Zofia	Seredycka	Malbork	2014-01-18	2014-01-18	680,00
Bonifacy	Barczewski	Bydgoszcz	2014-01-19	2014-01-19	513,40
Grzegorz	Podolski	Krakow	2014-01-19	2014-01-19	501,50
Karolina	Janes	Katowice	2014-01-21	2014-01-23	892,70
Ewa	Kwiska	Mielec	2014-01-21	2014-01-24	826,00
Adam	Markowski	Katowice	2014-01-21	2014-01-23	892,70
Paulina	Maskor	Bydgoszcz	2014-01-21	2014-01-23	795,40
Ewelia	Prus	Malbork	2014-01-21	2014-01-25	1524,00
Sebastian	Puchacz	Olsztyn	2014-01-21	2014-01-24	852,80
Dominika	Bodera	Krakow	2014-01-22	2014-01-22	501,50
Zofia	Budzianowska	Kalisz	2014-01-22	2014-01-22	442,00
Kornel	Henrykowski	Malbork	2014-01-22	2014-01-24	1102,00
Kacper	Krajewski	Radom	2014-01-22	2014-01-24	426,50
Janina	Bolanowska	Bydgoszcz	2014-01-23	2014-01-24	654,40
Jerzy	Granica	Siedlce	2014-01-23	2014-01-24	295,40
Jerzy	Jurajski	Kielce	2014-01-23	2014-01-24	485,70
Ewa	Fidyk	Katowice	2014-01-24	2014-01-24	494,70
Wiktor	Wroblewski	Kutno	2014-01-24	2014-01-24	278,80
Zofia	Seredycka	Olsztyn	2014-01-25	2014-01-25	363,80
